geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
GO:0051051	negative regulation of transport	http://amigo.geneontology.org/amigo/term/GO:0051051	-0.38151050867210645	-2.023244689288955	0	0.004825998699799663	385	./Project_wg_result1739092074_GSEA/GO_0051051.png	146	2946;9474;1113;54602;79651;64240;283518;79890;3753;6424;3952;3060;5733;1265;65267;5530;5532;55022;4318;131177;5167;27347;64285;64422;11314;4345;51763;3553;4828;2280;112755;10434;3033;4131;18;130497;5270;3592;8074;5906;6248;4946;5569;817;26297;29091;3745;5987;5879;2065;3146;3630;5581;10345;2824;7009;2931;83452;972;7097;11255;613;27248;6406;100507027;64241;673;5728;596;150696;54899;375611;23327;3624;3976;4790;258010;9882;84079;6536;51684;8529;100;112476;6588;56943;3598;9992;4734;1814;5587;26056;4947;91942;5593;5350;344901;9525;7879;353500;7057;6422;150;3965;29993;6386;29978;9607;80763;387129;2294;341;65125;6781;10961;801;3685;1742;4544;6865;26045;3356;6833;120892;257364;3156;301;3625;51185;134;6672;3593;64111;2564;338440;3757;27342;5781;9727;344;22925;284;1193;1268;29934;65266	ABAT;ABCC8;ABCG5;ABCG8;ADA;ADORA1;ADRA2A;ANGPT1;ANKRD27;ANO9;ANXA1;APOC1;APOC2;ATG3;ATG5;BCL2;BCR;BMP8A;BRAF;CALM1;CAMK2D;CARTPT;CD200;CD300A;CD74;CHGA;CLIC2;CNN2;CNR1;CRBN;CYP4F2;DLG4;DRD3;ENPP1;ENY2;ERBB3;ERLEC1;ERP29;FAM3D;FGF23;FKBP1A;FOXF1;GABRE;GPM6B;GSK3A;GSTM2;HADH;HCRT;HMGB1;HMGCR;HRH3;HTR2A;IL12A;IL12B;IL13RA2;IL1B;INHBA;INHBB;INPP5K;INS;ITGAV;KCNB1;KCNE1;KCNE2;KCNH2;KCNRG;LEP;LGALS9;LIF;LRRK2;LRRTM2;LYPLA1;MAP1B;MMP9;MRLN;MTNR1B;NDFIP2;NDUFAF2;NEDD4;NEDD4L;NFKB1;NMB;NPSR1;NPVF;OAZ1;OAZ2;OSR1;OSTN;PACSIN1;PID1;PKIA;PLA2R1;PLN;PPP3CA;PPP3CB;PRKCE;PRKD1;PRKG2;PROM2;PRRT2;PTEN;PTGER3;PTPN11;PXK;RAB11FIP3;RAB11FIP5;RAB33B;RAB7A;RABGEF1;RAC1;RAP1A;RHBDF1;RHBDF2;RIN3;RSC1A1;SDCBP;SEMG1;SERGEF;SERPINE2;SFRP1;SFRP4;SLC26A5;SLC6A9;SLN;SNX12;SNX33;SP100;SPX;STC1;STK39;STX1B;STXBP6;SUFU;SVIP;TACR2;TBC1D4;THBS1;TLR2;TMBIM6;TRDN;TRIM27;UBQLN2;VPS4B;WNK1;WNK3;WNK4
GO:0002683	negative regulation of immune system process	http://amigo.geneontology.org/amigo/term/GO:0002683	-0.33398939570821295	-1.7906521079932178	0	0.01761489525426877	461	./Project_wg_result1739092074_GSEA/GO_0002683.png	135	339390;1265;5169;5532;1588;335;9935;4609;5335;53347;11314;6366;4345;171392;9655;3659;79132;3112;3440;23513;6504;8654;133396;10077;23151;23098;284021;2615;671;55024;4982;10225;4254;338382;4068;8780;5987;3105;26585;725;152138;3146;3630;2852;130733;4179;558;7070;7009;695;3428;972;4057;708;22954;79626;51083;613;2335;3162;10875;55914;56477;79679;3624;84174;5272;100;8772;2241;1845;6778;8887;5133;2;3620;11006;11213;161882;55824;5914;79594;3598;64127;28959;1051;5585;3204;282618;84166;10385;10221;7057;6422;3965;7356;5591;3662;8878;374403;5795;1739;153090;260434;9607;5788;2294;1499;3718;6347;27293;836;1511;4332;26228;9306;301;134;114771;5621;3593;135;10461;55080;4282;5074;1378;27342;26279;10906;284;6370;11326;1268;54900	A2M;ADA;ADORA1;ADORA2A;ANGPT1;ANXA1;APOA1;AXL;BANK1;BCR;BPI;BTK;BTN2A2;C1QBP;C4BPB;CARTPT;CASP3;CCL2;CCL21;CCL25;CCL28;CD200;CD300A;CD46;CD74;CD96;CEBPB;CLEC4G;CNN2;CNR1;CR1;CTNNB1;CTSG;CYP19A1;DAB2IP;DHX58;DLG1;DUSP3;ENPP3;ERBIN;FADD;FER;FGL2;FN1;FOXF1;GAL;GPER1;GRAMD4;GREM1;HLA-A;HLA-DOB;HMGB1;HMOX1;HOXA7;IDO1;IFI16;IFNA2;IFNL1;IL12B;IL13RA2;IL31RA;INHBA;INS;IRAK3;IRF1;IRF4;JAK3;KITLG;LAX1;LGALS9;LILRB4;LRRC32;LTF;MAFB;MERTK;MIF;MILR1;MNDA;MUL1;MYC;NLRC5;NOD2;PAG1;PAWR;PDCD1;PDE5A;PGLYRP3;PKN1;PLA2G2D;PLCG1;PPP3CB;PRKDC;PRNP;PTPRC;PTPRJ;PYDC1;PYDC2;RAB7B;RABGEF1;RARA;RIOK3;SARM1;SCGB1A1;SCRIB;SERPINB9;SFRP1;SH2D1A;SLA2;SLAMF1;SMPDL3B;SOCS5;SOCS6;SQSTM1;STAP1;STAT6;TAPBPL;TAX1BP1;TBC1D10C;THBS1;THY1;TMBIM6;TMEM176B;TMEM178A;TNFAIP8L2;TNFRSF11B;TRAFD1;TRIB1;TRIM27;TRIM32;TSPAN32;UBASH3A;VSIG4;VTCN1;ZFPM1;ZNF675
GO:1903828	negative regulation of protein localization	http://amigo.geneontology.org/amigo/term/GO:1903828	-0.37276923126929606	-1.8097848355858681	0	0.017695328565932096	194	./Project_wg_result1739092074_GSEA/GO_1903828.png	66	65267;5530;8650;55022;131177;9201;64285;4345;51763;3553;4137;10434;3033;3592;25885;6248;5569;1601;26297;3745;8326;3630;2824;54741;9500;8500;27248;9528;377630;23327;30851;258010;9530;51684;84445;11006;56943;56957;5525;2665;1814;3301;201163;26056;91942;353500;6422;150;65125;10961;9475;4544;283514;6833;120892;257364;3156;3625;6672;3593;5781;9727;58476;284;29934;65266	ABCC8;ADRA2A;ANGPT1;BAG4;BMP8A;CD200;DAB2;DCLK1;DNAJA1;DRD3;ENY2;ERLEC1;ERP29;FAM3D;FLCN;FZD9;GDI2;GPM6B;HADH;HMGCR;IL12A;IL12B;IL1B;INHBB;INPP5K;INS;KCNB1;LEPROT;LILRB4;LRRK2;LYPLA1;LZTS2;MAGED1;MAPT;MTNR1B;NDUFAF2;NEDD4L;NUMB;OTUD7B;PID1;PKIA;POLR1A;PPFIA1;PPP2R5A;PPP3CA;PTPN11;RAB11FIP3;RAB11FIP5;RHBDF1;ROCK2;RSC1A1;SERGEF;SFRP1;SIAH3;SNX12;SNX33;SP100;SUFU;SVIP;TAX1BP3;TMEM59;TP53INP2;USP17L2;WNK1;WNK3;WNK4
GO:0050795	regulation of behavior	http://amigo.geneontology.org/amigo/term/GO:0050795	-0.40975822272484097	-1.714340919262469	0.0038314176245210726	0.01918334483170366	75	./Project_wg_result1739092074_GSEA/GO_0050795.png	20	6774;4159;3630;1437;8938;181;5730;463;22871;1141;56729;387129;1742;4544;153;134;135;440275;2691;1268	ADORA1;ADORA2A;ADRB1;AGRP;BAIAP3;CHRNB2;CNR1;CSF2;DLG4;EIF2AK4;GHRH;INS;MC3R;MTNR1B;NLGN1;NPSR1;PTGDS;RETN;STAT3;ZFHX3
GO:0050866	negative regulation of cell activation	http://amigo.geneontology.org/amigo/term/GO:0050866	-0.3503030347458136	-1.7183167294359383	0	0.020269194539158583	198	./Project_wg_result1739092074_GSEA/GO_0050866.png	61	11314;4345;9655;3659;3440;5156;23513;8654;133396;10077;5270;284021;2615;671;55024;3146;2852;558;5154;695;972;79626;51083;5580;2335;10875;5155;79679;3624;2241;1845;3620;11006;55824;1051;5585;282618;10385;6422;3965;7356;374403;1739;5788;3718;836;1511;4332;9306;301;114771;5621;135;10461;5074;1378;27342;26279;11326;1268;54900	ADORA2A;ANXA1;AXL;BANK1;BPI;BTK;BTN2A2;CASP3;CD200;CD300A;CD74;CEBPB;CNR1;CR1;CTSG;DLG1;DUSP3;FER;FGL2;FN1;GAL;GPER1;HMGB1;IDO1;IFNA2;IFNL1;IL31RA;INHBA;IRF1;JAK3;LAX1;LGALS9;LILRB4;LRRC32;MERTK;MILR1;MNDA;PAG1;PAWR;PDE5A;PDGFA;PDGFB;PDGFRA;PGLYRP3;PKN1;PLA2G2D;PRKCD;PRNP;PTPRC;RABGEF1;SCGB1A1;SCRIB;SERPINE2;SFRP1;SOCS5;SOCS6;TBC1D10C;TNFAIP8L2;TSPAN32;VSIG4;VTCN1
GO:0035924	cellular response to vascular endothelial growth factor stimulus	http://amigo.geneontology.org/amigo/term/GO:0035924	-0.4332882833684306	-1.7525730047740502	0.004149377593360996	0.020462234487150573	62	./Project_wg_result1739092074_GSEA/GO_0035924.png	17	81792;147372;7422;7498;5156;3592;7412;3273;5587;153090;8828;57556;4495;54567;1960;301;3593	ADAMTS12;ANXA1;CCBE1;DAB2IP;DLL4;EGR3;HRG;IL12A;IL12B;MT1G;NRP2;PDGFRA;PRKD1;SEMA6A;VCAM1;VEGFA;XDH
GO:0048511	rhythmic process	http://amigo.geneontology.org/amigo/term/GO:0048511	-0.3297274211350997	-1.695329264251091	0	0.020590927785811897	288	./Project_wg_result1739092074_GSEA/GO_0048511.png	80	268;8914;7166;5156;4543;4804;3172;10075;9575;3814;8851;8204;23596;8242;4159;6092;558;1437;9500;114781;8431;55068;55124;60675;7071;5728;148523;3624;4791;102724428;7054;6777;23064;57805;2;4880;181;9967;107;10135;1814;4882;5730;22809;463;3037;22871;2033;8553;5591;4783;1141;56729;9607;3065;79365;1390;59338;5563;5187;9475;10887;9975;4544;4808;7874;153;836;1960;79723;301;134;5798;135;5936;10495;5582;2492;2691;10514	A2M;ADCY1;ADORA1;ADORA2A;ADRB1;AGRP;AMH;ANXA1;ATF5;AXL;BHLHE40;BHLHE41;BTBD9;CARTPT;CASP3;CCAR2;CDK5R1;CHRNB2;CIART;CLOCK;CREM;CSF2;DRD3;EGR3;ENOX1;ENOX2;EP300;FSHR;GHRH;HAS2;HDAC1;HNF4A;HUWE1;INHBA;KDM5C;KISS1;KLF10;LOC102724428;MAGED1;MC3R;MTNR1A;MTNR1B;MYBBP1A;NAMPT;NFIL3;NFKB2;NGFR;NHLH2;NLGN1;NPPC;NPR2;NR0B2;NR1D2;NRIP1;OPN3;PDGFRA;PER1;PIWIL2;PLEKHA1;PRKAA2;PRKCG;PRKDC;PROK2;PROKR1;PTEN;PTGDS;PTPRN;RBM4;RETN;ROBO2;ROCK2;SETX;STAT5B;SUV39H2;TH;THRAP3;TIMELESS;TPH1;USP7;ZFHX3
GO:0040013	negative regulation of locomotion	http://amigo.geneontology.org/amigo/term/GO:0040013	-0.33609385118678803	-1.728514555714987	0	0.021716994149098483	318	./Project_wg_result1739092074_GSEA/GO_0040013.png	89	11314;6366;4345;2041;9863;7414;4070;114882;84034;8819;8646;9723;4163;4804;25855;8428;64218;6774;8482;9037;6722;56920;63923;4780;26585;5879;3146;6092;9839;7070;3273;972;613;6406;56999;3162;673;7473;5728;23603;596;5793;56477;7168;2658;100;1845;7076;7454;91862;9289;201163;1602;3204;55435;55558;10221;7057;3868;6422;27302;57406;10505;54361;5795;9747;153090;811;3065;6781;57556;1460;6347;54567;9104;1991;26228;6833;134;6672;388;10563;4282;27342;25930;196528;350;6370;10718	ABCC8;ABHD6;ADA;ADAMTS9;ADGRG1;ADORA1;AP1AR;APOH;ARID2;BCL2;BCR;BMP10;BRAF;BRMS1;CALR;CCL2;CCL21;CCL25;CCL28;CD200;CD300A;CD74;CHRD;CORO1C;CSNK2B;CXCL13;DAB2IP;DACH1;DLL4;DUSP3;ELANE;EMILIN2;EPHA1;FLCN;GDF2;GREM1;HDAC1;HMGB1;HMOX1;HOXA7;HRG;KRT16;MAGI2;MARVELD3;MCC;MIF;NFE2L2;NGFR;NRG3;OSBPL8;PLXNA3;PTEN;PTPN23;PTPRG;PTPRJ;RABGEF1;RAC1;RGN;RHOB;ROBO2;SAP30;SEMA3E;SEMA3G;SEMA4A;SEMA4F;SEMA5A;SEMA6A;SEMA7A;SEMG1;SFRP1;SP100;SRF;STAP1;STAT3;STC1;STK24;TACSTD2;TCAF1;THBS1;THY1;TIMP1;TNN;TPM1;TRIB1;VCL;WAS;WNT3;WNT4;ZEB2
GO:0031529	ruffle organization	http://amigo.geneontology.org/amigo/term/GO:0031529	-0.4536767405534192	-1.814558982043402	0	0.025577793108938214	54	./Project_wg_result1739092074_GSEA/GO_0031529.png	23	391;1436;23242;57175;5217;54849;26084;55920;6366;51763;4070;5879;3383;23603;377630;7168;9530;22871;3265;59338;10312;26228;1236	ARHGEF26;BAG4;CCL21;CCR7;COBL;CORO1B;CORO1C;CSF1R;DEF8;HRAS;ICAM1;INPP5K;NLGN1;PFN2;PLEKHA1;RAC1;RCC2;RHOG;STAP1;TACSTD2;TCIRG1;TPM1;USP17L2
GO:0002443	leukocyte mediated immunity	http://amigo.geneontology.org/amigo/term/GO:0002443	0.31145076658808446	1.626470309198491	0	0.027421319351140803	377	./Project_wg_result1739092074_GSEA/GO_0002443.png	99	100507436;53833;1604;10814;80762;7409;91543;3135;7124;50943;5873;196;149233;4277;100431172;975;353091;84522;684;148022;4153;3635;177;6814;1524;604;259197;10383;5777;114548;8723;1621;2147;51010;114836;59067;939;8915;7292;1054;201294;1439;3565;2956;171389;57126;64332;4843;58533;84868;2150;718;3077;127544;634;3456;2067;6375;4683;727;56253;2302;9341;3902;7037;8509;8673;940;914;4049;6338;9390;7098;3569;51135;2794;5724;3133;9214;5170;710;10125;3002;7784;163486;3799;54106;7099;2268;4092;712;6844;2207;2624;5819;3426;1075;4067;9025	AGER;AHR;BCL10;BCL6;BST2;C1QA;C3;C5;CD177;CD2;CD27;CD28;CD55;CD81;CEACAM1;CEBPG;CFI;CPLX2;CRTAM;CSF2RB;CTSC;CX3CR1;DBH;DENND1B;ERCC1;EXOSC3;F2;F2RL1;FCER1G;FCMR;FGR;FOXJ1;FOXP3;GATA2;GNL1;GZMB;HAVCR2;HFE;HLA-E;HLA-G;IFNB1;IL20RB;IL21;IL23R;IL4;IL6;INPP5D;IRAK4;JAGN1;KIF5B;KLRF2;LAG3;LTA;LYN;MBL2;MICA;MICB;MSH6;NBN;NCR3;NDFIP1;NDST2;NECTIN2;NFKBIZ;NLRP3;NLRP6;NOS2;PDPK1;PTAFR;PTPN6;RAB27A;RAET1G;RASGRP1;RNF19B;RNF8;RSAD2;SCNN1B;SERPING1;SLAMF6;SLC22A13;SMAD7;SNX4;SNX6;STXBP3;TFRC;TICAM1;TLR3;TLR4;TLR9;TNF;TNFSF4;TUBB4B;UNC13D;VAMP2;VAMP3;VAMP8;VAV1;XCL1;ZP3
