"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","negative regulation of transport","GO:0051051","2.3085469648150913e-219","218.63666128578575","412","1691","288","21017","LGALS9,STXBP3,WWP2,SDCBP,SLN,GNB5,CASQ2,PLSCR1,CLIC2,LRRTM2,HCRT,KALRN,PARK2,TBC1D4,SNX3,RAB11FIP3,VPS4B,LYPLA1,ARL6IP5,OAZ2,OXSR1,ADA,SPINK1,EGF,TGFB1,INS,TNF,IL1B,EPO,CRYAA,CRYAB,APOE,APOA2,APOC1,APOC2,HMGCR,ANXA1,CD74,SEMG1,APOD,ITGB3,INHA,EDN1,PRKCB,ITGAV,CRH,SERPINE2,THBS1,INHBA,ADRA2A,NMB,HMGB1,INHBB,MRLN,BCL2,TXN,CHGA,BCR,TPR,CEACAM1,OSM,TRIM27,DRD2,LIF,BRAF,KCNE1,PPP3CB,CD36,GJA1,PFKL,ADRA2B,ADRA2C,ATF4,NFKB1,TRH,IL11,NF1,TACR2,CNR1,ERBB3,DRD4,ENPP1,KEL,SP100,PRTN3,CRHBP,F2R,PLN,GSTM2,HTR1B,HTR2A,IL12A,IL12B,NOS3,NOS1,ERP29,ADORA1,SRI,NTSR1,CORO1A,AKT1,PTGS2,OPRM1,DRD3,IRS1,ACTN2,SREBF1,SNCA,OPRK1,LEP,CD200,CSK,CCR2,PTGER3,RANGAP1,NOTCH1,MAP1B,NEDD4,P2RY1,SLC6A9,NOV,MTNR1B,GSK3A,RAB7A,STC1,OAZ1,NR1H2,TMBIM6,F2RL1,UCP2,CAV3,SLC26A5,PTEN,UBE2G2,STX1B,OSTN,PKIA,ARF6,VSNL1,RAP1A,SUMO1,RACK1,FKBP1B,CYP4F2,GABRE,ASIC1,DLG4,GSTO1,ABAT,HAMP,CDK5,PRKCE,NRG1,ATP7A,PTPN11,FMR1,PPP3CA,ABCC8,SREBF2,KCNH2,FOXF1,ANK3,PLA2R1,TRDN,REST,NR1H3,GRB10,UNC119,OS9,GPM6B,PICALM,CAMK2D,PKD2,MTMR2,PRKG1,PTK2B,HES1,IL13RA2,KCNJ11,KCNB1,KCNAB1,GRM7,PEA15,PRKD1,ANGPT1,SHH,NPY5R,VAMP3,ADIPOQ,CRY1,CARTPT,HADH,MIDN,PKDCC,FFAR4,LRRK2,YOD1,SFRP4,TRAT1,RHBDF2,LRSAM1,NPSR1,RAB11FIP1,PID1,BMP8A,PXK,YRDC,LRRTM1,PIM3,NDUFAF2,PROM2,CBARP,LILRB2,SFRP1,PNKD,KCNRG,JAGN1,COMMD1,UBAC2,ACVR1C,STXBP6,SVIP,SCAMP5,OSR1,CD300LF,SNX33,RSAD2,RUBCN,RSC1A1,SYTL4,RHBDF1,ERLEC1,DPH3,WNK4,ANKRD27,NEDD4L,DERL3,VPS35,CRBN,PARK7,CHP1,ATXN2,BARD1,INPP5K,SPX,NDFIP1,SYT11,VAMP8,RAB11FIP5,PACSIN1,WNK3,DERL2,FGF23,RAB33B,SYT4,WNK1,GPR35,NPVF,GOPC,ENY2,TLR9,ATG3,NDFIP2,CABP1,MDFIC,GHRL,STK39,SERGEF,CD300A,UBQLN2,CD84,RABGEF1,KCNE5,PACSIN3,RAB23,UBQLN1,SUFU,OAZ3,SNX12,PACSIN2,PKIG,STXBP5L,CAB39,UBE2J1,IRS2,HRH3,SIRT4,SLC30A1"
"GO:BP","negative regulation of locomotion","GO:0040013","5.830451057295332e-169","168.23429784590704","339","1691","230","21017","WASL,KRIT1,CCL21,ITGB1BP1,NRP1,SEMA3E,SMAD7,OGT,ALOX15B,CCL25,SPINT2,SRGAP3,KLF4,FOXO3,CXCL13,ZEB2,GREM1,MITF,SEMA7A,SLIT2,SEMA3D,BMP10,SEMA4F,IL33,RECK,WNT11,ADA,C5,TIMP1,TGFB1,GNRH1,TNF,COL3A1,APOE,APOH,HRG,THY1,CD74,SEMG1,APOD,IL4,SERPINE1,DCN,THBS1,ELANE,KRT16,FGF2,HMGB1,TPM1,HMOX1,TACSTD2,BCL2,BCR,CYP19A1,BMP4,CCL2,MIF,DRD2,BRAF,DPEP1,GJA1,PTPN2,ENG,IGFBP3,VCL,NF1,EPHA1,BMP5,FBLN1,PTPRG,SP100,MCC,IGFBP5,KLRK1,PTPRM,ADORA1,HOXA7,AKT1,PFN2,CTNNA1,NF2,PTGER4,TIE1,BMPR1A,SERPINF1,ACVRL1,PPARG,STAT3,CD200,WNT5A,NBL1,WAS,NKX2-1,NOTCH1,CXCL12,NOV,CX3CR1,MEOX2,DUSP3,PLXNA3,ARHGDIB,STC1,SLURP1,AIF1,WNT3,WNT3A,WNT4,NRG3,SYNJ2BP,PTEN,RAP2B,RHOB,CX3CL1,ADARB1,ARHGAP4,SEMG2,MEF2C,LRP1,ABCC8,BST2,HYAL2,PTPRJ,IL24,MAP2K5,SEMA3B,NOG,SEMA3F,ADAM15,PIN1,HDAC1,SEMA5A,PRKG1,DPYSL3,GPR18,PTPRR,PTPRK,SHH,RGN,ADIPOQ,NFE2L2,RBBP7,CYP1B1,RNF20,DAB2IP,AP1AR,ARID2,IL27RA,VASH1,CLASP1,PODN,SRGAP1,PHLDB2,MAGI2,SULF1,SVBP,SFRP1,GCSAM,SCAI,ACVR1C,FLCN,SEMA6D,CYGB,PTPRU,HDAC2,HAS1,SEMA4D,ADIPOR1,TP53INP1,MARVELD3,ARRDC3,CERS2,SFRP2,C16ORF45,DLC1,TRIB1,NODAL,TBX5,CITED2,SEMA3C,SPOCK3,CORO1B,FUZ,ABHD6,GTPBP4,OSBPL8,SEMA4C,ING2,MMP28,SEMA6A,CHRD,SEMA4A,PTPN23,SEMA6C,SEMA6B,RNF41,RGCC,MMRN2,BRMS1,SEMA4B,PLCB1,DLL4,CCL28,GPR173,SEMA3G,SEMA4G,SEMA5B,C5AR2,ADAMTS9,GHRL,CD300A,EVL,DACH1,RABGEF1,GDF2,ING1,PLXNB3,NDRG4,ZMYND8,CORO1C,STAP1,HDAC5,ANGPT4,NISCH,PADI2,RAP2C,STARD13,TCAF1,ADGRG1,STK24,ROBO1"
"GO:BP","rhythmic process","GO:0048511","1.7461051660752147e-152","151.75792960274345","300","1691","206","21017","BMPR1B,AGRP,CLDN4,BHLHE40,MSTN,EREG,OGT,HDAC3,PER1,PAX4,SUV39H1,FOXO3,HCRTR2,PHLPP1,SLIT3,ROCK2,NCOR1,USP2,SLIT2,SOX14,SGPL1,EGFR,FSHB,GHRH,TNF,ESR1,AMH,CSF2,TP53,TYMS,PRKCG,CRH,TH,INHBA,ADRB1,F7,PARP1,NPS,NR2F6,TGFB3,TOP1,TOP2A,SRC,DRD2,CREB1,PDGFRA,KCNA2,TPH1,CHRNB2,EGR1,GABRB1,ATF4,NR1D1,NPR2,PTN,ZP3,DRD4,SFPQ,NFYA,NPPC,FSHR,ADORA2A,NOS3,PML,GNA11,AXL,ADORA1,OXTR,SLC6A4,HTR7,NOS2,DRD3,AHR,PPP1CC,SERPINF1,SREBF1,PPARG,ID1,OPRK1,OPRL1,LEP,KDM5C,HNF4A,MTOR,CASP3,CASP2,NAMPT,NKX2-1,MAPK8,MAPK9,NOTCH1,ID4,MTNR1A,MTNR1B,GSK3B,RORC,STAT5B,MAP2K6,MAPK10,PRKAA2,NAGLU,PER3,SIK1,PTEN,TGFB2,PPP1CA,RACK1,CSNK2A1,PRKDC,CDK5,NFKB2,HNRNPU,RELB,ID2,ID3,NHLH2,CREM,GFPT1,TYRO3,EGR3,PPARA,DHX9,ADCY1,EP300,DBP,TEF,KLF10,PRKAA1,NR1H3,TARDBP,CBX3,NR5A1,HDAC1,CUL4A,DYRK1A,PRKG1,HNRNPD,NR1D2,CDK5R1,NONO,NCOA2,TWIST1,NPY5R,NCOA1,ADIPOQ,EZH2,ZFHX3,ENOX2,RPE65,CRY1,CARTPT,AANAT,NTRK2,NFIL3,CYP1B1,PTPRN,NMS,CRTC1,SETX,GPR149,METTL3,PASD1,CCAR2,NLGN1,CIART,PROKR2,PIWIL2,ENOX1,PROKR1,PSPC1,RORB,HDAC2,PROX1,HAS2,KAT2B,USP7,SIRT1,BTBD9,NPAS2,RBM4B,MYBBP1A,RBM4,LGR4,HES7,CIPC,BHLHE41,ADNP,SUV39H2,PLEKHA1,PROK2,RETN,PPARGC1A,GHRL,SRRD,ADAMTS1,OPN4,MAGEL2,NOCT,FBXW11,FZD4,TIMELESS,BTRC,ATF5,THRAP3,MAGED1,TNFRSF11A"
"GO:BP","negative regulation of cell motility","GO:2000146","2.1160808034200476e-146","145.67446775260592","304","1691","203","21017","WASL,KRIT1,CCL21,ITGB1BP1,SMAD7,OGT,ALOX15B,CCL25,SPINT2,SRGAP3,KLF4,FOXO3,CXCL13,ZEB2,GREM1,MITF,SLIT2,BMP10,IL33,RECK,WNT11,ADA,C5,TIMP1,TGFB1,GNRH1,TNF,COL3A1,APOE,APOH,HRG,THY1,CD74,SEMG1,APOD,IL4,SERPINE1,DCN,THBS1,KRT16,FGF2,HMGB1,TPM1,HMOX1,TACSTD2,BCL2,BCR,CYP19A1,BMP4,CCL2,MIF,DRD2,BRAF,DPEP1,GJA1,ENG,IGFBP3,VCL,NF1,EPHA1,BMP5,FBLN1,PTPRG,SP100,MCC,IGFBP5,KLRK1,PTPRM,ADORA1,HOXA7,AKT1,PFN2,CTNNA1,NF2,PTGER4,TIE1,BMPR1A,SERPINF1,ACVRL1,PPARG,STAT3,CD200,NBL1,WAS,NKX2-1,NOTCH1,CXCL12,NOV,CX3CR1,MEOX2,DUSP3,ARHGDIB,STC1,SLURP1,AIF1,WNT4,NRG3,SYNJ2BP,PTEN,RAP2B,RHOB,CX3CL1,ADARB1,ARHGAP4,SEMG2,MEF2C,LRP1,ABCC8,BST2,HYAL2,PTPRJ,IL24,MAP2K5,NOG,ADAM15,PIN1,HDAC1,PRKG1,DPYSL3,GPR18,PTPRR,PTPRK,SHH,RGN,ADIPOQ,NFE2L2,RBBP7,CYP1B1,RNF20,DAB2IP,AP1AR,ARID2,IL27RA,VASH1,CLASP1,PODN,SRGAP1,PHLDB2,MAGI2,SULF1,SVBP,SFRP1,GCSAM,SCAI,ACVR1C,FLCN,SEMA6D,CYGB,PTPRU,HDAC2,HAS1,ADIPOR1,TP53INP1,MARVELD3,CERS2,SFRP2,C16ORF45,DLC1,TRIB1,NODAL,TBX5,CITED2,SPOCK3,CORO1B,FUZ,ABHD6,GTPBP4,OSBPL8,ING2,MMP28,CHRD,PTPN23,RNF41,RGCC,MMRN2,BRMS1,PLCB1,DLL4,CCL28,GPR173,C5AR2,ADAMTS9,CD300A,EVL,DACH1,RABGEF1,GDF2,ING1,PLXNB3,NDRG4,ZMYND8,CORO1C,STAP1,HDAC5,ANGPT4,NISCH,PADI2,RAP2C,STARD13,TCAF1,ADGRG1,STK24,ROBO1"
"GO:BP","negative regulation of cell migration","GO:0030336","1.9192576341542264e-139","138.7168667232419","288","1691","193","21017","WASL,KRIT1,CCL21,ITGB1BP1,SMAD7,OGT,ALOX15B,CCL25,SRGAP3,KLF4,FOXO3,CXCL13,ZEB2,GREM1,MITF,SLIT2,BMP10,IL33,RECK,WNT11,ADA,C5,TIMP1,TGFB1,GNRH1,TNF,COL3A1,APOE,APOH,HRG,THY1,CD74,APOD,IL4,SERPINE1,DCN,THBS1,KRT16,FGF2,HMGB1,TPM1,HMOX1,TACSTD2,BCL2,BCR,CYP19A1,BMP4,CCL2,MIF,DRD2,BRAF,DPEP1,GJA1,ENG,IGFBP3,VCL,NF1,EPHA1,BMP5,PTPRG,SP100,MCC,IGFBP5,KLRK1,PTPRM,ADORA1,HOXA7,AKT1,PFN2,NF2,PTGER4,TIE1,BMPR1A,SERPINF1,ACVRL1,PPARG,STAT3,CD200,NBL1,NKX2-1,NOTCH1,CXCL12,NOV,CX3CR1,MEOX2,DUSP3,ARHGDIB,STC1,SLURP1,AIF1,WNT4,NRG3,SYNJ2BP,PTEN,RAP2B,RHOB,CX3CL1,ADARB1,ARHGAP4,MEF2C,LRP1,ABCC8,BST2,HYAL2,PTPRJ,IL24,MAP2K5,NOG,ADAM15,HDAC1,PRKG1,DPYSL3,GPR18,PTPRR,PTPRK,SHH,ADIPOQ,NFE2L2,RBBP7,CYP1B1,RNF20,DAB2IP,ARID2,IL27RA,VASH1,CLASP1,PODN,SRGAP1,PHLDB2,MAGI2,SULF1,SVBP,SFRP1,GCSAM,SCAI,ACVR1C,FLCN,SEMA6D,CYGB,PTPRU,HDAC2,HAS1,ADIPOR1,TP53INP1,MARVELD3,CERS2,SFRP2,C16ORF45,DLC1,TRIB1,NODAL,TBX5,CITED2,CORO1B,FUZ,ABHD6,GTPBP4,OSBPL8,ING2,MMP28,CHRD,PTPN23,RNF41,RGCC,MMRN2,BRMS1,PLCB1,DLL4,CCL28,GPR173,C5AR2,ADAMTS9,CD300A,EVL,DACH1,RABGEF1,GDF2,ING1,PLXNB3,NDRG4,ZMYND8,CORO1C,STAP1,HDAC5,ANGPT4,NISCH,PADI2,RAP2C,STARD13,TCAF1,ADGRG1,STK24,ROBO1"
"GO:BP","negative regulation of growth","GO:0045926","8.877616881658996e-137","136.05170360111867","245","1691","177","21017","DDX3X,NRP1,MSTN,SEMA3E,ALOX15B,TP73,CYP27B1,GREM1,SLIT3,SEMA7A,NDUFS3,STC2,SLIT2,SEMA3D,KCNK2,BMP10,NTN1,SEMA4F,WNT11,TGFB1,CRYAB,RBP4,HRG,TP53,MT1A,RB1,ENO1,SERPINE2,MT1B,ADRB2,INHBA,ADRB1,FBP1,HSPA1A,BCL2,SPP1,MYL2,G6PD,MT1G,ADRB3,GJA1,WT1,ENPP1,FGFR3,IGFBP5,MT3,MSX1,PML,PPP2R1A,SLC6A4,CDA,PHB,ACVR1B,ACVRL1,PPARG,BCL6,WNT5A,HNF4A,CDKN2A,CDKN2C,DCC,CDKN1B,BDKRB1,NOV,GSK3A,GNG4,PPT1,SMARCA2,SMARCA4,GPC3,PLXNA3,CDKN2D,CAV3,WNT3,WNT3A,SESN2,PTEN,OSTN,TGFB2,RACK1,PPP2CA,MT1H,MT1X,SMAD3,DAB2,ARHGAP4,CDK5,PPARA,BST2,HYAL1,HYAL2,PTPRJ,STK4,STK3,SEMA3B,NOG,SEMA3F,ADAM15,SEMA5A,BMPR2,SERTAD2,MAPK11,STK11,CCDC85B,RBBP7,HIF1A,NAIF1,WWC2,JADE1,CAPRIN2,TRIM40,PSRC1,CRLF3,DCUN1D3,WWC1,ULK2,SPG20,CCAR2,MT1M,SFRP1,DRAXIN,SEMA6D,PNPT1,ST7L,ING5,ESR2,SEMA4D,MUL1,ADIPOR1,RERG,DACT3,EAF2,SIPA1,SFRP2,DCBLD2,SCGB3A1,PPP1R9B,LGMN,TBX5,CITED2,SEMA3C,TCHP,BBS2,RTN4R,SEMA4C,BCL11A,DCSTAMP,SEMA6A,TSPYL2,SEMA4A,SEMA6C,SEMA6B,SAV1,SOX17,WFDC1,SEMA4B,RTN4,SEMA3G,SEMA4G,CDKN2AIP,PLAC8,NDUFA13,SH3BP4,SEMA5B,NDRG3,IP6K2,SERTAD3,OSGIN1,GDF2,ING1,WWC3,ING4,OSGIN2,RNF6,TP53TG5,CTDP1,TLL2"
"GO:BP","signal release","GO:0023061","3.649191651399301e-136","135.43780332738365","493","1691","246","21017","SNAP23,STXBP3,WNT7A,DVL1,UNC13B,LIN7A,CASK,SYN3,SNPH,VGF,SYNJ1,SYT7,HCRT,KALRN,PARK2,PPFIA3,RAB11FIP3,STX11,DGKI,SNCG,BAIAP3,TSPOAP1,SNAPIN,EGFR,F2,SPINK1,POMC,GHRH,INS,TNF,IFNG,IL1B,FGA,FGB,FGG,RBP4,ANXA1,INHA,PRKCG,IL6,EDN1,PRKCB,CRH,LYN,INHBA,ADRA2A,NMB,INHBB,SPP1,PRKAR1A,CHGA,CYP19A1,CCL5,OSM,EDN3,MIF,DRD2,LIF,BRAF,CREB1,PPP3CB,KCNA2,ATP2A2,GJA1,SYN1,PRKACA,CHRNB2,PFKL,ADRA2B,ADCYAP1,ADRA2C,RAB3A,RAB5A,NR1D1,TRH,IL11,NF1,TACR2,CNR1,SYT1,COMT,GAL,CRHBP,EDNRB,F2R,HTR1B,HTR2A,HTR2C,CD38,ADORA2A,GNA11,ADORA1,OXTR,SRI,CHRNB4,SLC6A4,CHRNA3,STX2,PFN2,NOS2,PTGS2,OPRM1,DRD3,IRS1,HNF1B,SOX11,SREBF1,PPARG,SNCA,GDNF,OPRK1,LEP,HNF4A,P2RY1,CXCL12,NOV,MTNR1B,CPT1A,PPT1,MAP2K6,NAPA,F2RL1,UCP2,FOXL2,SNAP25,STX1B,STXBP1,VSNL1,RAP1A,VAMP2,FKBP1B,ASIC1,ABAT,DAB2,CDK5,PRKCE,GHRHR,PTPN11,BTK,MEF2C,FMR1,SOX4,PPP3CA,ABCC8,REST,TARDBP,STX3,SCRIB,DOC2A,DOC2B,ITPR1,KCNJ11,KCNB1,GRM4,RAB3GAP1,PRKD1,GPR68,STXBP2,ADIPOQ,GRIK5,CRY1,CARTPT,SLC18A3,STX1A,HIF1A,HADH,PTPRN,HFE,MIDN,FFAR4,LRRK2,SNAP47,SYT6,CPLX2,RAB11FIP1,SYT10,BMP8A,CPLX4,SYT9,RIMS1,CADPS2,PIM3,KCNMB4,SYT12,NDUFAF2,NLGN1,SFRP1,PNKD,STX19,JAGN1,UNC13C,SYT8,ACVR1C,BRSK1,SYN2,PTPRN2,BAD,SYTL4,DTNBP1,WNK4,VPS35,NR1H4,PARK7,GPER1,P2RX7,SEPT5,NKX3-1,SYT3,SYT15,SYT11,VAMP8,RBM4,RAB11FIP5,C1QTNF1,C1QTNF3,FGF23,SYT4,PTPN23,DNAJC5,RIMS4,SLC32A1,OTOF,NPVF,RETN,ENY2,PLCB1,TCF7L2,CHD7,NRXN2,GHRL,RIMS3,BLOC1S6,NRXN1,FZD4,UNC13A,CAMK2A,FOXA2,STXBP5L,NRXN3,IRS2,HRH3,SIRT4,SNCAIP,SLC30A1,TNFRSF11A,PCLO"
"GO:BP","negative regulation of response to external stimulus","GO:0032102","3.5878149019797604e-118","117.44516997062304","403","1691","208","21017","ACOD1,LGALS9,TRIM38,TRAFD1,DVL1,NRP1,CASK,SEMA3E,KLF4,CXCL13,GREM1,SOCS5,SEMA7A,PGLYRP1,PPM1B,SLIT2,SEMA3D,SEMA4F,IL33,SOD1,F2,PLG,F12,ADA,C5,PDGFB,TGFB1,INS,TNF,IL2RA,APOA1,APOE,FGA,FGB,FGG,APCS,APOH,LTF,KLKB1,PROC,PDGFA,HRG,KRT1,IGF1,IL4,SERPINB2,SERPINE1,SERPING1,ISG15,EDN1,RB1,SERPINE2,GPX1,THBD,PROS1,LYN,THBS1,ELANE,PTPRC,SERPINF2,FGF2,GSTP1,PARP1,SPP1,BCR,PIM1,CYP19A1,SRC,CCL2,CEACAM1,HLA-E,MIF,DRD2,SPN,PDGFRA,HLA-G,PTPN2,CR1,TSPAN8,PLCG1,TRIM21,NFKB1,NR1D1,TNFAIP3,DRD1,IL10,ZFP36,KLRK1,PSMB4,ADORA2A,PTPN6,IL12B,NOS3,ADORA1,PRDX2,ARRB2,IL13,PTGER4,DRD3,AHR,PPARG,RPS19,CD96,STAT3,CD200,WNT5A,NBL1,NOTCH1,SERPINB4,NOV,SERPINB9,DUSP3,PLXNA3,AIF1,NR1H2,WNT3,WNT3A,WNT4,NLRP6,NLRP12,PTEN,CX3CL1,HAMP,SMAD3,SLC6A3,PPARD,PLAUR,PRKCD,TYRO3,C1QBP,PPARA,FOXF1,NR1H3,MAPK7,SEMA3B,GPS2,SEMA3F,NMI,GPR17,SEMA5A,PRKG1,GPR18,NR1D2,TARBP2,NPY5R,ADIPOQ,IFI16,MICB,PYDC2,FFAR4,TNFAIP8L2,RHBDF2,IL20RB,NLRC3,MAVS,CLASP1,PHLDB2,METTL3,NLRX1,NLRC5,SEMA6D,HAVCR2,TRAF3IP1,ADAMTS18,UBASH3B,CACTIN,SMPDL3B,SEMA4D,MUL1,DHX58,CERS2,CPB2,VPS35,NR1H4,TRIB1,GPER1,SEMA3C,CORO1B,NDFIP1,SYT11,C1QTNF1,C1QTNF3,RTN4R,FOXP3,SEMA4C,LACRT,MMP28,SEMA6A,SEMA4A,SEMA6C,SEMA6B,WFDC1,SEMA4B,SPINK5,CYLD,SEMA3G,SEMA4G,SEMA5B,C5AR2,NFKBIL1,GHRL,RABGEF1,NRXN1,STAP1,VSIG4,PADI2,IRAK3,ROBO1"
"GO:BP","negative regulation of protein localization","GO:1903828","8.796430288411544e-118","117.05569353473278","212","1691","153","21017","FZD9,WWP2,ITGB1BP1,TAX1BP3,DCLK1,LEPROT,PARK2,SNX3,ROCK2,ASTN2,RAB11FIP3,LYPLA1,BAG4,POLR1A,TGFB1,INS,IL1B,APOE,HMGCR,APOD,ADRA2A,INHBB,TXN,MAPT,CHGA,DRD2,KCNE1,CD36,RHOQ,PFKL,NF1,DRD4,SP100,F2R,IL12A,IL12B,ERP29,GDI1,DNAJA1,AKT1,GBP1,CTNNA1,OPRM1,DRD3,IRS1,ACTN2,SREBF1,CD200,CSK,MTOR,RANGAP1,NOV,MTNR1B,NUMB,GSK3B,TERF1,F2RL1,UCP2,CAV3,CLDN18,UBE2G2,PKIA,ARF6,VSNL1,SUMO1,FKBP1B,DAB2,CDK5,CLTC,PTPN11,BCL2L1,PPP3CA,DMTN,ABCC8,REST,NR1H3,PPFIA1,OS9,GPM6B,PICALM,TRIM29,KCNJ11,KCNB1,PPP2R5A,ANGPT1,ADIPOQ,HADH,MIDN,PKDCC,LRRK2,YOD1,OTUD7B,TRIM40,RHBDF2,USP17L2,RAB11FIP1,PID1,BMP8A,PIM3,SIAH3,TP53INP2,NDUFAF2,PIAS4,SFRP1,JAGN1,COMMD1,UBAC2,ACVR1C,FLCN,SVIP,LILRB4,LRRC15,SNX33,RSAD2,RSC1A1,TMBIM1,SYTL4,RHBDF1,ERLEC1,DPH3,WNK4,NEDD4L,DERL3,VPS35,PARK7,CHP1,BARD1,LZTS2,INPP5K,NDFIP1,RAB11FIP5,TMEM59,WNK3,DCLK3,DERL2,SYT4,WNK1,GOPC,ENY2,LZTFL1,NDFIP2,CABP1,MDFIC,GHRL,SERGEF,RAB23,SUFU,SNX12,PKIG,STXBP5L,UBE2J1,MAGED1,SIRT4"
"GO:BP","negative regulation of cell growth","GO:0030308","1.1848892182111971e-107","106.92632225232782","191","1691","139","21017","DDX3X,NRP1,SEMA3E,CYP27B1,GREM1,SLIT3,SEMA7A,NDUFS3,SLIT2,SEMA3D,BMP10,NTN1,SEMA4F,WNT11,TGFB1,CRYAB,HRG,TP53,RB1,ENO1,SERPINE2,INHBA,FBP1,HSPA1A,BCL2,SPP1,MYL2,G6PD,GJA1,WT1,ENPP1,MT3,MSX1,PML,PPP2R1A,CDA,PHB,ACVR1B,ACVRL1,PPARG,BCL6,WNT5A,HNF4A,CDKN2A,CDKN2C,DCC,CDKN1B,BDKRB1,NOV,GSK3A,GNG4,PPT1,SMARCA2,SMARCA4,PLXNA3,CDKN2D,CAV3,WNT3,WNT3A,SESN2,OSTN,TGFB2,RACK1,PPP2CA,SMAD3,DAB2,ARHGAP4,CDK5,PPARA,BST2,HYAL1,HYAL2,PTPRJ,SEMA3B,SEMA3F,ADAM15,SEMA5A,BMPR2,SERTAD2,STK11,CCDC85B,RBBP7,NAIF1,JADE1,CAPRIN2,TRIM40,PSRC1,CRLF3,DCUN1D3,ULK2,SPG20,CCAR2,SFRP1,DRAXIN,SEMA6D,ST7L,ESR2,SEMA4D,MUL1,ADIPOR1,RERG,DACT3,EAF2,SIPA1,SFRP2,DCBLD2,SCGB3A1,PPP1R9B,SEMA3C,TCHP,RTN4R,SEMA4C,BCL11A,DCSTAMP,SEMA6A,TSPYL2,SEMA4A,SEMA6C,SEMA6B,SOX17,WFDC1,SEMA4B,RTN4,SEMA3G,SEMA4G,CDKN2AIP,NDUFA13,SH3BP4,SEMA5B,NDRG3,IP6K2,SERTAD3,OSGIN1,GDF2,ING1,OSGIN2,RNF6,TP53TG5,CTDP1"
